A,C,support
(lung & ~bronc & ~xray & ~either & ~tub),"('asia', 'smoke')",335
(lung & ~bronc & ~xray & ~either & ~tub),"('dysp', 'smoke')",335
(~lung & either),"('asia', 'smoke')",0
(~lung & either),"('bronc', 'smoke')",0
(~lung & either),"('dysp', 'smoke')",0
(~lung & either),"('smoke', 'tub')",0
(~lung & either),"('smoke', 'xray')",0
(~lung & ~either & bronc),"('asia', 'smoke')",1954
(~lung & ~either & bronc),"('dysp', 'smoke')",1954
(~lung & ~either & bronc),"('smoke', 'tub')",1954
(~lung & ~either & bronc),"('smoke', 'xray')",1954
(~lung & ~either & ~bronc),"('asia', 'smoke')",2588
(~lung & ~either & ~bronc),"('dysp', 'smoke')",2588
(~lung & ~either & ~bronc),"('smoke', 'tub')",2588
(~lung & ~either & ~bronc),"('smoke', 'xray')",2588
(either & lung),"('asia', 'tub')",74664
(either & lung),"('bronc', 'tub')",74664
(either & lung),"('dysp', 'tub')",74664
(either & lung),"('smoke', 'tub')",74664
(either & lung),"('tub', 'xray')",74664
(either & ~lung),"('asia', 'tub')",0
(either & ~lung),"('bronc', 'tub')",0
(either & ~lung),"('dysp', 'tub')",0
(either & ~lung),"('smoke', 'tub')",0
(either & ~lung),"('tub', 'xray')",0
(~either & lung),"('asia', 'tub')",794
(~either & lung),"('bronc', 'tub')",794
(~either & lung),"('dysp', 'tub')",794
(~either & lung),"('smoke', 'tub')",794
(~either & lung),"('tub', 'xray')",794
(~either & ~lung & asia & xray),"('bronc', 'tub')",93
(~either & ~lung & asia & xray),"('dysp', 'tub')",93
(~either & ~lung & asia & xray),"('smoke', 'tub')",93
(~either & ~lung & asia & ~xray),"('bronc', 'tub')",4403
(~either & ~lung & asia & ~xray),"('dysp', 'tub')",4403
(~either & ~lung & asia & ~xray),"('smoke', 'tub')",4403
(~either & ~lung & ~asia & xray & smoke),"('bronc', 'tub')",0
(~either & ~lung & ~asia & xray & smoke),"('dysp', 'tub')",0
(~either & ~lung & ~asia & xray & ~smoke),"('bronc', 'tub')",2
(~either & ~lung & ~asia & xray & ~smoke),"('dysp', 'tub')",2
(~either & ~lung & ~asia & ~xray),"('bronc', 'tub')",44
(~either & ~lung & ~asia & ~xray),"('dysp', 'tub')",44
(~either & ~lung & ~asia & ~xray),"('smoke', 'tub')",44
(lung & either & tub & smoke & dysp & ~asia),"('bronc', 'xray')",260
(lung & either & tub & smoke & ~dysp),"('asia', 'xray')",12205
(lung & either & tub & smoke & ~dysp),"('bronc', 'xray')",12205
(lung & either & tub & ~smoke),"('asia', 'xray')",35329
(lung & either & tub & ~smoke),"('bronc', 'xray')",35329
(lung & either & tub & ~smoke),"('dysp', 'xray')",35329
(lung & either & ~tub),"('asia', 'xray')",0
(lung & either & ~tub),"('bronc', 'xray')",0
(lung & either & ~tub),"('dysp', 'xray')",0
(lung & either & ~tub),"('smoke', 'xray')",0
(lung & ~either & tub),"('asia', 'xray')",0
(lung & ~either & tub),"('bronc', 'xray')",0
(lung & ~either & tub),"('dysp', 'xray')",0
(lung & ~either & tub),"('smoke', 'xray')",0
(lung & ~either & ~tub),"('asia', 'xray')",794
(lung & ~either & ~tub),"('bronc', 'xray')",794
(lung & ~either & ~tub),"('dysp', 'xray')",794
(lung & ~either & ~tub),"('smoke', 'xray')",794
(~lung & either),"('asia', 'xray')",0
(~lung & either),"('bronc', 'xray')",0
(~lung & either),"('dysp', 'xray')",0
(~lung & either),"('tub', 'xray')",0
(~lung & ~either),"('asia', 'xray')",4542
(~lung & ~either),"('bronc', 'xray')",4542
(~lung & ~either),"('dysp', 'xray')",4542
(~lung & ~either),"('smoke', 'xray')",4542
(~lung & ~either),"('tub', 'xray')",4542
